tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole
22813,-195,-731,8176,-427.314,-259.457,8063.071,700.054,815.819,550.532,-1.572,-96.714,10.713,-0.533,16.362,1.481,0,0,0,0,0
22913,159,-868,7513,-425.000,-280.571,8058.471,701.718,812.161,553.755,23.143,-211.143,-46.001,16.646,-36.580,32.224,0,0,0,0,0
23013,-687,-938,7585,-442.214,-305.643,8062.743,693.101,804.948,548.911,-172.143,-250.714,42.715,-86.170,-72.125,-48.431,0,0,0,0,0
23113,-572,-1271,8186,-446.843,-333.971,8068.971,692.871,803.529,547.800,-46.286,-283.286,62.285,-2.305,-14.196,-11.115,0,0,0,0,0
23213,-367,-1011,8806,-434.529,-359.257,8086.457,686.491,796.556,551.499,123.143,-252.857,174.858,-63.800,-69.727,36.993,0,0,0,0,0
23313,-405,-88,8062,-429.429,-366.929,8088.057,685.364,791.303,551.264,51.000,-76.714,16.001,-11.265,-52.526,-2.358,0,0,0,0,0
23413,-273,245,7693,-419.843,-369.971,8085.372,682.788,788.530,552.722,95.857,-30.429,-26.855,-25.764,-27.735,14.584,0,0,0,0,0
23513,-322,64,7907,-420.786,-375.529,8085.843,682.607,784.069,552.555,-9.428,-55.571,4.712,-1.813,-44.612,-1.665,0,0,0,0,0
23613,-202,413,8212,-418.200,-381.357,8089.657,683.087,776.634,552.492,25.857,-58.286,38.145,4.809,-74.349,-0.639,0,0,0,0,0
23713,-283,577,8139,-415.900,-384.914,8086.429,683.268,771.650,551.533,23.000,-35.571,-32.285,1.803,-49.839,-9.590,0,0,0,0,0
23813,-348,740,8177,-412.543,-380.100,8084.029,683.016,777.579,550.767,33.571,48.143,-23.999,-2.521,59.291,-7.653,0,0,0,0,0
23913,-66,716,8083,-363.929,-381.314,8084.600,576.547,775.798,550.745,486.143,-12.143,5.713,-1064.686,-17.811,-0.221,0,0,0,0,0
24013,-93,713,8287,-351.757,-378.129,8086.657,573.135,779.817,551.228,121.714,31.857,20.571,-34.124,40.189,4.830,0,0,0,0,0
24113,-127,1019,7739,-343.600,-369.457,8080.700,572.211,791.837,552.698,81.571,86.714,-59.570,-9.232,120.200,14.697,0,0,0,0,0
